,BLOQUE,APELLIDO,NOMBRE,PROVINCIA,PARTIDO O ALIANZA,Inicia_Mandato,Finaliza_Mandato
57,UNIDAD FEDERAL,SNOPEK,GUILLERMO EUGENIO MARIO,JUJUY,FRENTE JUSTICIALISTA,2017-12-10,2023-12-09
58,MISIONES,SOLARI  QUINTANA,MAGDALENA,MISIONES,FRENTE RENOVADOR DE LA CONCORDIA,2017-12-10,2023-12-09
59,FRENTE PRO,TAGLIAFERRI,GUADALUPE,CIUDAD AUTÓNOMA DE BUENOS AIRES,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09
60,UNIÓN CÍVICA RADICAL,TAPIA,MARÍA BELÉN,SANTA CRUZ,UNIÓN PARA VIVIR MEJOR CAMBIEMOS,2017-12-10,2023-12-09
61,CAMBIO FEDERAL,TERENZI,EDITH ELIZABETH,CHUBUT,JUNTOS POR EL CAMBIO CHUBUT,2021-12-10,2027-12-09
62,FRENTE PRO,TORELLO,JOSÉ MARÍA,BUENOS AIRES,CAMBIEMOS BUENOS AIRES,2022-02-24,2023-12-09
63,CAMBIO FEDERAL,TORRES,IGNACIO AGUSTÍN,CHUBUT,JUNTOS POR EL CAMBIO CHUBUT,2021-12-10,2027-12-09
64,FRENTE NACIONAL Y POPULAR,UÑAC,JOSÉ RUBÉN,SAN JUAN,FRENTE TODOS,2017-12-10,2023-12-09
65,UNIÓN CÍVICA RADICAL,VALENZUELA,MERCEDES GABRIELA,CORRIENTES,ECO + VAMOS CORRIENTES,2021-12-10,2027-12-09
66,HAY FUTURO ARGENTINA,VEGA,MARÍA CLARA DEL VALLE,LA RIOJA,CAMBIEMOS FUERZA CÍVICA RIOJANA,2019-12-20,2023-12-09
67,UNIDAD FEDERAL,VIGO,ALEJANDRA MARÍA,CÓRDOBA,HACEMOS POR CÓRDOBA,2021-12-10,2027-12-09
68,UNIÓN CÍVICA RADICAL,VISCHI,EDUARDO ALEJANDRO,CORRIENTES,ECO + VAMOS CORRIENTES,2021-12-10,2027-12-09
69,JUNTOS SOMOS RÍO NEGRO,WERETILNECK,ALBERTO EDGARDO,RÍO NEGRO,JUNTOS SOMOS RIO NEGRO,2019-12-10,2025-12-09
70,FRENTE NACIONAL Y POPULAR,YEDLIN,PABLO RAÚL,TUCUMÁN,FRENTE DE TODOS,2021-12-10,2027-12-09
71,UNIÓN CÍVICA RADICAL,ZIMMERMANN,VICTOR,CHACO,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09
